x;y;value
73;2;-2.88358652
74;2;-2.77248302
75;2;-2.65971090
76;2;-2.54558869
77;2;-2.43043339
78;2;-2.31455998
79;2;-2.19827742
80;2;-2.08188270
81;2;-1.96566755
82;2;-1.84991248
83;2;-1.73487684
84;2;-1.62081099
85;2;-1.50793691
86;2;-1.39646967
87;2;-1.28658528
88;2;-1.17843748
89;2;-1.07215099
90;2;-0.96782634
91;2;-0.86550962
92;2;-0.76523377
93;2;-0.66697338
94;2;-0.57066627
95;2;-0.47618892
96;2;-0.38338905
97;2;-0.29205764
98;2;-0.20191074
99;2;-0.11262076
100;2;-0.02378237
101;2;0.06498021
102;2;0.15378795
103;2;0.24266246
104;2;0.33160123
105;2;0.42057935
106;2;0.50955150
107;2;0.59845334
108;2;0.68720322
109;2;0.77570508
110;2;0.86384512
111;2;0.95150092
112;2;1.03853701
113;2;1.12480873
114;2;1.21016310
115;2;1.29443982
116;2;1.37747308
117;2;1.45909296
118;2;1.53912595
119;2;1.61739642
0;3;-0.10481774
1;3;-0.18759682
2;3;-0.27086270
3;3;-0.35503912
4;3;-0.44048426
5;3;-0.52749418
6;3;-0.61630651
7;3;-0.70710344
8;3;-0.80001555
9;3;-0.89512451
10;3;-0.99246694
11;3;-1.09203675
12;3;-1.19378853
13;3;-1.29764026
14;3;-1.40347689
15;3;-1.51115206
16;3;-1.62049172
17;3;-1.73129674
18;3;-1.84334382
19;3;-1.95639082
20;3;-2.07017711
21;3;-2.18442647
22;3;-2.29884960
23;3;-2.41314540
24;3;-2.52700565
25;3;-2.64011314
26;3;-2.75214654
27;3;-2.86278153
28;3;-2.97169398
29;3;-3.07855713
30;3;-3.18304946
31;3;-3.28485245
32;3;-3.38365190
33;3;-3.47914258
34;3;-3.57102563
35;3;-3.65901231
36;3;-3.74282511
37;3;-3.82219813
38;3;-3.89687933
39;3;-3.96662864
40;3;-4.03122361
41;3;-4.09045639
42;3;-4.14413524
43;3;-4.19208674
44;3;-4.23415624
45;3;-4.27020554
46;3;-4.30011741
47;3;-4.32379337
48;3;-4.34115589
49;3;-4.35214543
50;3;-4.35672490
51;3;-4.35487746
52;3;-4.34660497
53;3;-4.33193253
54;3;-4.31090396
55;3;-4.28358368
56;3;-4.25005668
57;3;-4.21042598
58;3;-4.16481664
59;3;-4.11337098
60;3;-4.05624855
61;3;-3.99362873
62;3;-3.92570701
63;3;-3.85269574
64;3;-3.77482112
65;3;-3.69232584
66;3;-3.60546455
67;3;-3.51450503
68;3;-3.41972517
69;3;-3.32141820
70;3;-3.21987773
71;3;-3.11541180
72;3;-3.00833313
73;3;-2.89895610
74;3;-2.78759794
75;3;-2.67458445
76;3;-2.56023322
77;3;-2.44486277
78;3;-2.32878657
79;3;-2.21231451
80;3;-2.09574395
81;3;-1.97936627
82;3;-1.86346065
83;3;-1.74828794
84;3;-1.63409700
85;3;-1.52111104
86;3;-1.40954381
87;3;-1.29957085
88;3;-1.19134534
89;3;-1.08499330
90;3;-0.98061220
91;3;-0.87824904
92;3;-0.77793634
93;3;-0.67964637
94;3;-0.58331834
95;3;-0.48882516
96;3;-0.39601642
97;3;-0.30468085
98;3;-0.21453242
99;3;-0.12524513
100;3;-0.03640923
101;3;0.05234940
102;3;0.14114884
103;3;0.23000653
104;3;0.31891612
105;3;0.40784915
106;3;0.49675684
107;3;0.58557170
108;3;0.67420932
109;3;0.76257079
110;3;0.85054020
111;3;0.93799255
112;3;1.02479055
113;3;1.11078794
114;3;1.19582987
115;3;1.27975484
116;3;1.36239599
117;3;1.44358200
118;3;1.52313881
119;3;1.60089021
0;4;-0.14173160
1;4;-0.22449374
2;4;-0.30774132
3;4;-0.39189679
4;4;-0.47731693
5;4;-0.56429689
6;4;-0.65307308
7;4;-0.74382699
8;4;-0.83668784
9;4;-0.93173697
10;4;-1.02900993
11;4;-1.12850016
12;4;-1.23016131
13;4;-1.33391155
14;4;-1.43963479
15;4;-1.54718431
16;4;-1.65638579
17;4;-1.76703988
18;4;-1.87892311
19;4;-1.99179335
20;4;-2.10538957
21;4;-2.21943557
22;4;-2.33364205
23;4;-2.44770809
24;4;-2.56132547
25;4;-2.67417699
26;4;-2.78594187
27;4;-2.89629617
28;4;-3.00491500
29;4;-3.11147330
30;4;-3.21564880
31;4;-3.31712372
32;4;-3.41558499
33;4;-3.51072626
34;4;-3.60225090
35;4;-3.68986907
36;4;-3.77330437
37;4;-3.85229277
38;4;-3.92658073
39;4;-3.99593045
40;4;-4.06011833
41;4;-4.11893878
42;4;-4.17219967
43;4;-4.21972948
44;4;-4.26137241
45;4;-4.29699215
46;4;-4.32647147
47;4;-4.34971413
48;4;-4.36664072
49;4;-4.37719470
50;4;-4.38133862
51;4;-4.37905638
52;4;-4.37035096
53;4;-4.35524747
54;4;-4.33379046
55;4;-4.30604586
56;4;-4.27209829
57;4;-4.23205263
58;4;-4.18603321
59;4;-4.13418309
60;4;-4.07666442
61;4;-4.01365474
62;4;-3.94535102
63;4;-3.87196675
64;4;-3.79372736
65;4;-3.71087704
66;4;-3.62367083
67;4;-3.53237688
68;4;-3.43727382
69;4;-3.33865413
70;4;-3.23681256
71;4;-3.13205808
72;4;-3.02470227
73;4;-2.91506066
74;4;-2.80345138
75;4;-2.69019933
76;4;-2.57562265
77;4;-2.46003930
78;4;-2.34376423
79;4;-2.22710622
80;4;-2.11036246
81;4;-1.99382561
82;4;-1.87777337
83;4;-1.76246734
84;4;-1.64815600
85;4;-1.53506124
86;4;-1.42339701
87;4;-1.31333941
88;4;-1.20504087
89;4;-1.09862526
90;4;-0.99419285
91;4;-0.89178615
92;4;-0.79143887
93;4;-0.69312384
94;4;-0.59677742
95;4;-0.50227272
96;4;-0.40945762
97;4;-0.31812090
98;4;-0.22797497
99;4;-0.13869119
100;4;-0.04986174
101;4;0.03889006
102;4;0.12767839
103;4;0.21651667
104;4;0.30539468
105;4;0.39428053
106;4;0.48312202
107;4;0.57184864
108;4;0.66037321
109;4;0.74859409
110;4;0.83639310
111;4;0.92364285
112;4;1.01020453
113;4;1.09592956
114;4;1.18066187
115;4;1.26423845
116;4;1.34649152
117;4;1.42724853
118;4;1.50633477
119;4;1.58357320
0;5;-0.18019193
1;5;-0.26292690
2;5;-0.34614592
3;5;-0.43026991
4;5;-0.51565465
5;5;-0.60259389
6;5;-0.69132312
7;5;-0.78202268
8;5;-0.87482117
9;5;-0.96979878
10;5;-1.06699047
11;5;-1.16638913
12;5;-1.26794766
13;5;-1.37158340
14;5;-1.47718024
15;5;-1.58459111
16;5;-1.69364137
17;5;-1.80413106
18;5;-1.91583677
19;5;-2.02851638
20;5;-2.14190831
21;5;-2.25573691
22;5;-2.36971251
23;5;-2.48353474
24;5;-2.59689446
25;5;-2.70947615
26;5;-2.82095771
27;5;-2.93101671
28;5;-3.03932808
29;5;-3.14556655
30;5;-3.24941098
31;5;-3.35054436
32;5;-3.44865284
33;5;-3.54343158
34;5;-3.63458359
35;5;-3.72182051
36;5;-3.80486632
37;5;-3.88345662
38;5;-3.95733937
39;5;-4.02627638
40;5;-4.09004631
41;5;-4.14844319
42;5;-4.20127564
43;5;-4.24837253
44;5;-4.28957878
45;5;-4.32475997
46;5;-4.35379850
47;5;-4.37659811
48;5;-4.39308167
49;5;-4.40319261
50;5;-4.40689461
51;5;-4.40417045
52;5;-4.39502611
53;5;-4.37948669
54;5;-4.35759713
55;5;-4.32942334
56;5;-4.29505183
57;5;-4.25458747
58;5;-4.20815571
59;5;-4.15589962
60;5;-4.09798136
61;5;-4.03458144
62;5;-3.96589536
63;5;-3.89213695
64;5;-3.81353391
65;5;-3.73032931
66;5;-3.64277931
67;5;-3.55115204
68;5;-3.45572728
69;5;-3.35679675
70;5;-3.25465745
71;5;-3.14961647
72;5;-3.04198727
73;5;-2.93208500
74;5;-2.82022780
75;5;-2.70674131
76;5;-2.59194311
77;5;-2.47615171
78;5;-2.35968134
79;5;-2.24284282
80;5;-2.12593128
81;5;-2.00923919
82;5;-1.89304558
83;5;-1.77761053
84;5;-1.66318253
85;5;-1.54998450
86;5;-1.43822880
87;5;-1.32809115
88;5;-1.21972389
89;5;-1.11325051
90;5;-1.00876960
91;5;-0.90632498
92;5;-0.80594867
93;5;-0.70761170
94;5;-0.61125118
95;5;-0.51673904
96;5;-0.42392159
97;5;-0.33258710
98;5;-0.24244749
99;5;-0.15317257
100;5;-0.06435228
101;5;0.02438895
102;5;0.11316255
103;5;0.20197798
104;5;0.29082142
105;5;0.37965732
106;5;0.46843049
107;5;0.55706741
108;5;0.64547780
109;5;0.73355778
110;5;0.82118680
111;5;0.90823535
112;5;0.99456240
113;5;1.08001797
114;5;1.16444450
115;5;1.24767737
116;5;1.32954770
117;5;1.40988236
118;5;1.48850515
119;5;1.56523902
0;6;-0.22046161
1;6;-0.30315698
2;6;-0.38633485
3;6;-0.47041491
4;6;-0.55575144
5;6;-0.64263707
6;6;-0.73130619
7;6;-0.82193807
8;6;-0.91466029
9;6;-1.00955260
10;6;-1.10664879
11;6;-1.20594109
12;6;-1.30738213
13;6;-1.41088838
14;6;-1.51634385
15;6;-1.62360013
16;6;-1.73248318
17;6;-1.84279236
18;6;-1.95430426
19;6;-2.06677658
20;6;-2.17994755
21;6;-2.29354152
22;6;-2.40726957
23;6;-2.52083059
24;6;-2.63391617
25;6;-2.74620985
26;6;-2.85739144
27;6;-2.96713792
28;6;-3.07512458
29;6;-3.18102712
30;6;-3.28452326
31;6;-3.38529823
32;6;-3.48303783
33;6;-3.57743757
34;6;-3.66820159
35;6;-3.75504191
36;6;-3.83768213
37;6;-3.91585972
38;6;-3.98932264
39;6;-4.05783384
40;6;-4.12117196
41;6;-4.17913179
42;6;-4.23152308
43;6;-4.27817542
44;6;-4.31893414
45;6;-4.35366518
46;6;-4.38225205
47;6;-4.40460000
48;6;-4.42063115
49;6;-4.43028969
50;6;-4.43354116
51;6;-4.43036946
52;6;-4.42077908
53;6;-4.40479700
54;6;-4.38246926
55;6;-4.35386179
56;6;-4.31906222
57;6;-4.27817579
58;6;-4.23132871
59;6;-4.17866478
60;6;-4.12034617
61;6;-4.05655414
62;6;-3.98748531
63;6;-3.91335352
64;6;-3.83438646
65;6;-3.75082945
66;6;-3.66293677
67;6;-3.57097882
68;6;-3.47523497
69;6;-3.37599773
70;6;-3.27356294
71;6;-3.16823995
72;6;-3.06034148
73;6;-2.95018323
74;6;-2.83808298
75;6;-2.72436636
76;6;-2.60935244
77;6;-2.49335881
78;6;-2.37669950
79;6;-2.25968515
80;6;-2.14261182
81;6;-2.02577050
82;6;-1.90944112
83;6;-1.79388380
84;6;-1.67934644
85;6;-1.56605020
86;6;-1.45420929
87;6;-1.34399721
88;6;-1.23556694
89;6;-1.12904160
90;6;-1.02451847
91;6;-0.92204033
92;6;-0.82163968
93;6;-0.72328720
94;6;-0.62691760
95;6;-0.53240242
96;6;-0.43958858
97;6;-0.34826108
98;6;-0.25813140
99;6;-0.16886992
100;6;-0.08006387
101;6;0.00866227
102;6;0.09741677
103;6;0.18620528
104;6;0.27501037
105;6;0.36379325
106;6;0.45249540
107;6;0.54104052
108;6;0.62933570
109;6;0.71727454
110;6;0.80473405
111;6;0.89158280
112;6;0.97767794
113;6;1.06286780
114;6;1.14699284
115;6;1.22988773
116;6;1.31138233
117;6;1.39130204
118;6;1.46947064
119;6;1.54570988
0;7;-0.26275846
1;7;-0.34539980
2;7;-0.42852208
3;7;-0.51254348
4;7;-0.59781700
5;7;-0.68463400
6;7;-0.77322786
7;7;-0.86377640
8;7;-0.95640678
9;7;-1.05119741
10;7;-1.14818172
11;7;-1.24735090
12;7;-1.34865730
13;7;-1.45201684
14;7;-1.55731267
15;7;-1.66439668
16;7;-1.77309416
17;7;-1.88320428
18;7;-1.99450328
19;7;-2.10674922
20;7;-2.21968012
21;7;-2.33302018
22;7;-2.44648083
23;7;-2.55976097
24;7;-2.67255256
25;7;-2.78453971
26;7;-2.89540147
27;7;-3.00481557
28;7;-3.11245825
29;7;-3.21800482
30;7;-3.32113507
31;7;-3.42153216
32;7;-3.51888414
33;7;-3.61288690
34;7;-3.70324459
35;7;-3.78967032
36;7;-3.87188847
37;7;-3.94963651
38;7;-4.02266313
39;7;-4.09073241
40;7;-4.15362375
41;7;-4.21113230
42;7;-4.26306893
43;7;-4.30926250
44;7;-4.34956133
45;7;-4.38382984
46;7;-4.41195420
47;7;-4.43383889
48;7;-4.44940790
49;7;-4.45860579
50;7;-4.46139774
51;7;-4.45776914
52;7;-4.44772599
53;7;-4.43129561
54;7;-4.40852371
55;7;-4.37947807
56;7;-4.34424632
57;7;-4.30293445
58;7;-4.25566905
59;7;-4.20259503
60;7;-4.14387533
61;7;-4.07969044
62;7;-4.01023849
63;7;-3.93573406
64;7;-3.85640523
65;7;-3.77249656
66;7;-3.68426457
67;7;-3.59197893
68;7;-3.49591900
69;7;-3.39637840
70;7;-3.29365374
71;7;-3.18805362
72;7;-3.07989112
73;7;-2.96948196
74;7;-2.85714502
75;7;-2.74320537
76;7;-2.62798154
77;7;-2.51179149
78;7;-2.39495091
79;7;-2.27776766
80;7;-2.16053966
81;7;-2.04355733
82;7;-1.92709950
83;7;-1.81142646
84;7;-1.69678573
85;7;-1.58340017
86;7;-1.47147978
87;7;-1.36120122
88;7;-1.25271552
89;7;-1.14614421
90;7;-1.04158550
91;7;-0.93908143
92;7;-0.83866233
93;7;-0.74029984
94;7;-0.64392720
95;7;-0.54941534
96;7;-0.45660908
97;7;-0.36529512
98;7;-0.27518184
99;7;-0.18593755
100;7;-0.09715156
101;7;-0.00844576
102;7;0.08028456
103;7;0.16904137
104;7;0.25780383
105;7;0.34652990
106;7;0.43515816
107;7;0.52360932
108;7;0.61178803
109;7;0.69958540
110;7;0.78687625
111;7;0.87352725
112;7;0.95939338
113;7;1.04432146
114;7;1.12815074
115;7;1.21071456
116;7;1.29184130
117;7;1.37135570
118;7;1.44908061
119;7;1.52483701
0;8;-0.30725776
1;8;-0.38982881
2;8;-0.47287916
3;8;-0.55682543
4;8;-0.64201927
5;8;-0.72875079
6;8;-0.81725186
7;8;-0.90769989
8;8;-1.00022045
9;8;-1.09489143
10;8;-1.19174512
11;8;-1.29077255
12;8;-1.39192503
13;8;-1.49511819
14;8;-1.60023483
15;8;-1.70712625
16;8;-1.81561738
17;8;-1.92550766
18;8;-2.03657315
19;8;-2.14857135
20;8;-2.26124085
21;8;-2.37430584
22;8;-2.48747737
23;8;-2.60045490
24;8;-2.71293060
25;8;-2.82458856
26;8;-2.93510914
27;8;-3.04416989
28;8;-3.15144668
29;8;-3.25661650
30;8;-3.35935875
31;8;-3.45935737
32;8;-3.55630151
33;8;-3.64988707
34;8;-3.73981895
35;8;-3.82581063
36;8;-3.90758798
37;8;-3.98488773
38;8;-4.05746083
39;8;-4.12507133
40;8;-4.18749903
41;8;-4.24454019
42;8;-4.29600607
43;8;-4.34172739
44;8;-4.38155172
45;8;-4.41534573
46;8;-4.44299484
47;8;-4.46440503
48;8;-4.47950104
49;8;-4.48822780
50;8;-4.49055199
51;8;-4.48645938
52;8;-4.47595595
53;8;-4.45907055
54;8;-4.43584887
55;8;-4.40636019
56;8;-4.37069214
57;8;-4.32895183
58;8;-4.28126623
59;8;-4.22778026
60;8;-4.16865796
61;8;-4.10408096
62;8;-4.03424663
63;8;-3.95937107
64;8;-3.87968197
65;8;-3.79542500
66;8;-3.70685708
67;8;-3.61424749
68;8;-3.51787634
69;8;-3.41803801
70;8;-3.31502873
71;8;-3.20915709
72;8;-3.10073693
73;8;-2.99008434
74;8;-2.87751707
75;8;-2.76336134
76;8;-2.64793584
77;8;-2.53155834
78;8;-2.41454343
79;8;-2.29720008
80;8;-2.17982452
81;8;-2.06270906
82;8;-1.94613214
83;8;-1.83035198
84;8;-1.71561745
85;8;-1.60214893
86;8;-1.49015897
87;8;-1.37982171
88;8;-1.27128761
89;8;-1.16467828
90;8;-1.06009111
91;8;-0.95756794
92;8;-0.85713910
93;8;-0.75877305
94;8;-0.66240406
95;8;-0.56790213
96;8;-0.47511099
97;8;-0.38381524
98;8;-0.29372441
99;8;-0.20450492
100;8;-0.11574390
101;8;-0.02706433
102;8;0.06163606
103;8;0.15035582
104;8;0.23907082
105;8;0.32773597
106;8;0.41628689
107;8;0.50464176
108;8;0.59270259
109;8;0.68035816
110;8;0.76748133
111;8;0.85393669
112;8;0.93957746
113;8;1.02424901
114;8;1.10778907
115;8;1.19002923
116;8;1.27079738
117;8;1.34991723
118;8;1.42721071
119;8;1.50249823
0;9;-0.35409459
1;9;-0.43657736
2;9;-0.51953773
3;9;-0.60339074
4;9;-0.68848656
5;9;-0.77511378
6;9;-0.86350348
7;9;-0.95383148
8;9;-1.04622265
9;9;-1.14075393
10;9;-1.23745680
11;9;-1.33632160
12;9;-1.43729918
13;9;-1.54030462
14;9;-1.64522005
15;9;-1.75189688
16;9;-1.86015937
17;9;-1.96980698
18;9;-2.08061574
19;9;-2.19234317
20;9;-2.30472767
21;9;-2.41749418
22;9;-2.53035280
23;9;-2.64300433
24;9;-2.75514072
25;9;-2.86644627
26;9;-2.97660190
27;9;-3.08528515
28;9;-3.19217320
29;9;-3.29694304
30;9;-3.39927484
31;9;-3.49885326
32;9;-3.59536709
33;9;-3.68851410
34;9;-3.77799881
35;9;-3.86353584
36;9;-3.94485181
37;9;-4.02168417
38;9;-4.09378501
39;9;-4.16091802
40;9;-4.22286485
41;9;-4.27942178
42;9;-4.33040192
43;9;-4.37563526
44;9;-4.41497048
45;9;-4.44827614
46;9;-4.47543726
47;9;-4.49636134
48;9;-4.51097273
49;9;-4.51921900
50;9;-4.52106607
51;9;-4.51650046
52;9;-4.50553040
53;9;-4.48818286
54;9;-4.46450652
55;9;-4.43456993
56;9;-4.39846183
57;9;-4.35629010
58;9;-4.30818205
59;9;-4.25428374
60;9;-4.19475885
61;9;-4.12978974
62;9;-4.05957492
63;9;-3.98433046
64;9;-3.90428408
65;9;-3.81968294
66;9;-3.73078209
67;9;-3.63785416
68;9;-3.54117742
69;9;-3.44104735
70;9;-3.33775944
71;9;-3.23162414
72;9;-3.12295419
73;9;-3.01206528
74;9;-2.89927706
75;9;-2.78491422
76;9;-2.66929547
77;9;-2.55273915
78;9;-2.43555946
79;9;-2.31806537
80;9;-2.20055386
81;9;-2.08331481
82;9;-1.96662722
83;9;-1.85075007
84;9;-1.73593071
85;9;-1.62238916
86;9;-1.51033835
87;9;-1.39995071
88;9;-1.29137738
89;9;-1.18473875
90;9;-1.08013257
91;9;-0.97759854
92;9;-0.87716690
93;9;-0.77880553
94;9;-0.68244777
95;9;-0.58796251
96;9;-0.49519346
97;9;-0.40392390
98;9;-0.31386130
99;9;-0.22467323
100;9;-0.13594426
101;9;-0.04729750
102;9;0.04136667
103;9;0.13004346
104;9;0.21870569
105;9;0.30730528
106;9;0.39577528
107;9;0.48403119
108;9;0.57197260
109;9;0.65948637
110;9;0.74644297
111;9;0.83270524
112;9;0.91812467
113;9;1.00254520
114;9;1.08580308
115;9;1.16772883
116;9;1.24814907
117;9;1.32688636
118;9;1.40376207
119;9;1.47859616
0;10;-0.40336617
1;10;-0.48574109
2;10;-0.56859183
3;10;-0.65233193
4;10;-0.73730964
5;10;-0.82381257
6;10;-0.91207011
7;10;-1.00225721
8;10;-1.09449791
9;10;-1.18886788
10;10;-1.28539800
11;10;-1.38407770
12;10;-1.48485773
13;10;-1.58765195
14;10;-1.69234296
15;10;-1.79878123
16;10;-1.90679111
17;10;-2.01617169
18;10;-2.12669939
19;10;-2.23813096
20;10;-2.35020575
21;10;-2.46264811
22;10;-2.57516912
23;10;-2.68746899
24;10;-2.79924061
25;10;-2.91016884
26;10;-3.01993405
27;10;-3.12821545
28;10;-3.23469023
29;10;-3.33903575
30;10;-3.44093275
31;10;-3.54006701
32;10;-3.63612731
33;10;-3.72881218
34;10;-3.81782764
35;10;-3.90288867
36;10;-3.98372227
37;10;-4.06006740
38;10;-4.13167501
39;10;-4.19831217
40;10;-4.25975979
41;10;-4.31581525
42;10;-4.36629168
43;10;-4.41102168
44;10;-4.44985394
45;10;-4.48265663
46;10;-4.50931704
47;10;-4.52974228
48;10;-4.54385932
49;10;-4.55161386
50;10;-4.55297482
51;10;-4.54792834
52;10;-4.53648378
53;10;-4.51866885
54;10;-4.49453262
55;10;-4.46414363
56;10;-4.42759286
57;10;-4.38498745
58;10;-4.33645583
59;10;-4.28214445
60;10;-4.22221770
61;10;-4.15685836
62;10;-4.08626566
63;10;-4.01065456
64;10;-3.93025539
65;10;-3.84531383
66;10;-3.75608716
67;10;-3.66284614
68;10;-3.56587092
69;10;-3.46545622
70;10;-3.36189866
71;10;-3.25550721
72;10;-3.14659607
73;10;-3.03548096
74;10;-2.92248058
75;10;-2.80792056
76;10;-2.69211906
77;10;-2.57539420
78;10;-2.45806059
79;10;-2.34042662
80;10;-2.22278816
81;10;-2.10543657
82;10;-1.98864973
83;10;-1.87268513
84;10;-1.75779199
85;10;-1.64418828
86;10;-1.53208644
87;10;-1.42165976
